Η αίθουσα του πανεπιστημίου,Аудитория в Университете
παρακολουθώ το μάθημα,посещать урок
στη φωτογραφία φαίνεται,на фото видно
η εκδρομή στη Βαρκελώνη,экскурсия (поездка) в Барселону
ψάχνω ένα μουσείο στον χάρτη,я ищу музей на карте
κάνω μια εργασία,выполняю (делаю) работу (задание)
το δύσκολο μάθημα ,трудный урок
η μέρα των γενεθλίων μου,мой день рождения
κάνω έκπληξη,делаю сюрприз
Δεν θα το ξεχάσω ποτέ!,Я никогда этого не забуду!
σηκώνω τα χέρια μας ψηλά,я поднимаю руки вверх
κερδίζω το πρώτο βραβείο σε έναν διαγωνισμό,я выигрываю первый приз в конкурсе
η τελευταία μέρα,последний день
παίρνω/πήρα το πτυχίο μου,я получаю/получил диплом
ήμουν στο εξωτερικό για δουλειές,я был заграницей по делам
έχω/είχα ένα ατύχημα,я попадаю/попал в аварию
πέφτω/έπεσα από το ποδήλατο,я падаю/упал с велосипеда
ξυπνάω/ξύπνησα με πόνους,я просыпаюсь/проснулась от боли
πηγαίνω/πήγα στο νοσοκομείο,я хожу/сходила в больницу
χτυπάω/χτύπησα  στο αριστερό μου χέρι/στο κεφάλι,ударяю/ударил левую руку/голову
μου είπε να σταματήσω τα φάρμακα,"он сказал мне, чтобы я прекратил принимать лекарства"
η επιχείρηση της οικογένειάς του,семейный бизнес
το ζαχαροπλαστείο λειτουργεί,кондитерская работает
σπουδάζω/σπούδασα οικονομικά,я изучаю/изучал экономику
τελειώνω/τελείωσα τις σπουδές μου,я заканчиваю/закончил учебу
πηγαίνω/πήγα ένα ταξίδι,еду/поехал в путешествие
αποφασίζω/αποφάσισα να σπουδάσω,решаю/решил учиться
ο διευθυντής στην επιχείρηση,директор на предприятии
δουλεύουν διακόσιοι υπάλληλοι,работает двести сотрудников
πουλάω γλυκά,продаю сладости
οι πελάτες μας μπορούν να παραγγείλουν από όλα τα καταστήματά μας και ηλεκτρονικά,наши клиенты могут сделать заказ во всех наших магазинах и онлайн
η ηλεκτρονική σελίδα,веб-сайт
το δημοτικό σχολείο,начальная школа
μπορώ να μιλήσω,могу поговорить
είμαι ηθοποιός σε μια θεατρική ομάδα,я актер в театральной группе
επισκεπτόμαστε σχολεία,посещаем школы
η νότια Ελλάδα,южная Греция
παρουσιάζουμε παλιά και καινούρια παραμύθια,представляем старые и новые сказки
διαλέγω τον αγαπημένο  ήρωα,я выбираю своего любимого героя
φτιάχνω μια μάσκα,делаю маску
τον επόμενο μήνα,в следующем месяце
το λύκειο,лицей
δίνω/έδωσα εξετάσεις στο πανεπιστήμιο ,я сдаю/сдал экзамены в университете
περνάω/ πέρασα εξετάσεις,сдаю/сдал экзамены
νοικιάζω ένα σπίτι,снимаю жилье
η πολυκατοικία ,многоквартирный дом
έχω την ίδια ηλικία ,я ровесник
βγαίνω έξω,выхожу в аут
κάνω πολλές εκδρομές,я имею много экскурсий
κάνω μαθήματα οδήγησης,я беру уроки вождения
έχω συνάντηση των συμμαθητών,у меня встреча одноклассников
μπορείς να έρθεις,вы можете приехать
καλώ/κάλεσα όλους,приглашаю/пригласила всех
το εξωτερικό ,заграница
προσπάθησε να έρθεις,попробуй (постарайся) приехать
έχει δρομολόγια με λεωφορείο/τρένο,имеет автобусное/железнодорожное расписание
η κεντρική γέφυρα βρίσκεται,центральный мост расположен
ο γνωστός δρόμος,знаменитая улица
πολλά καταστήματα ,множество магазинов
η παλιά πόλη,старый город
περπατάω/περπάτησα στα στενά δρομάκια,прогуливаюсь/прогулялся по узким улочкам
η αγαπημένη γειτονιά,любимый район
χωρίς πολλά χρήματα,без больших денег
κάνει πολλή ζέστη,очень жарко
η θερμοκρασία πέφτει κάτω από το μηδέν,температура опускается ниже нуля
χιονίζει,идет снег
βρέχει,идет дождь
μπορούν να κάνουν ψώνια,они могут делать покупки
οι καλές τιμές,хорошие цены
η χαμηλή θερμοκρασία ,низкая температура
το ξενοδοχείο ζητάει έναν έμπειρο υπάλληλο ,отель ищет опытного сотрудника
ο καλός μισθός ,хорошая заработная плата
δωρεάν,бесплатно
πωλείται σπίτι ,продается дом
το ισόγειο ,цокольный этаж
βράζω/έβρασα/θα βράσω-βράσε/βράστε,"варю/сварил/сварю- свари, сварите"
κόβω/έκοψα/θα κόψω-κόψε/κόψτε,режу/порезала/порежу-порежь/порежьте
βάζω/έβαλα/θα βάλω-βάλε/βάλτε,ставлю/поставил/поставлю-поставь/поставьте
ψήνω/έψησα/θα ψήσω-ψήσε/ψήστε,выпекаю/выпекла/выпеку-выпеки/выпеките
ανακατεύω/ανακάτεψα/θα ανακατέψω-ανακάτεψε/ανακατέψτε,"перемешиваю/перемешал-перемешаю-перемешай, перемешайте"
το κολυμβητήριο ,плавательный бассейн
τα μαθήματα κολύμβησης ,уроки плавания
έχει έκπτωση ,имеет скидку
πουλάω κάτι ,я что-то продаю
κοστίζει/κάνει/έχει/είναι ,стóит
κάνω δώρο ,делаю порядок
τα μαξιλάρια ,подушки
τα έπιπλα,мебель
σπουδάζω/σπούδασα στο Ωδείο,я учусь/учился в консерватории
